arxiv_id,title,published,updated,categories,abstract,pdf_url
2606.19246v1,Markovian actions are Anosov-like,2026-06-17T16:24:38Z,2026-06-17T16:24:38Z,math.DS,"Motivated by the introduction of Anosov-like actions by Thomas Barthelmé, Steven Frankel, and Kathryn Mann, in this paper we study group actions on the plane that preserve a pair of transverse singular foliations, as well as a strong Markovian family, namely, a collection of rectangles serving as an analogue of a Markov partition for group actions. We prove that any such action is Anosov-like. In particular, the existence of a strong Markovian family constrains the behavior of the invariant bifoliation and endows the action with characteristic features of hyperbolic dynamics, such as the existence of infinitely many elements with fixed points.",https://arxiv.org/pdf/2606.19246v1
2606.19244v1,On restricted Rota-Baxter Lie algebras of arbitrary weight,2026-06-17T16:23:21Z,2026-06-17T16:23:21Z,math.RA,"Recently, Ehret and Gilliers introduced the notion of a (trivially) restricted post-Lie algebra, recovering the concepts of a restricted Lie algebra and a restricted pre-Lie algebra. In this paper, we specifically introduce restricted Rota-Baxter Lie algebras of arbitrary weight with an intrinsic graph subalgebra characterization. We show that, via the splitting property, they give rise to restricted post-Lie algebras, and furthermore possess a novel replication property. We then present two natural constructions of such restricted Rota-Baxter structures in prime characteristic: one arising from Rota-Baxter associative algebras of arbitrary weight, and the other from Rota-Baxter Lie algebras of weight $1$. The Rota-Baxter $p$-envelopes of a Rota-Baxter Lie algebra are also examined.",https://arxiv.org/pdf/2606.19244v1
2606.19241v1,The Moduli Space of Twisted Exact Differential Forms on Curves in Positive Characteristic,2026-06-17T16:20:57Z,2026-06-17T16:20:57Z,math.AG,"After fixing a pattern $\mathbf{m}$ of zeroes and poles, we introduce a Moduli stack $Γ\mathcal{M}_{g,n}^{ex, \mathbf{m}}$ over $\mathbb{F}_p$ that parametrizes smooth marked curves together with a non-zero differential form that is the differential of a meromorphic function. Furthermore, we consider the stack $\mathcal{M}_{g,n}^{ex, \mathbf{m}}$ that parametrizes those divisors on smooth curves that appear as divisors of exact differential forms. By introducing a local-global principle for first order deformations of the objects that we consider, we show smoothness of these stacks and compute their dimension.",https://arxiv.org/pdf/2606.19241v1
2606.19234v1,Classical freeness of $\widehat{\mathfrak{sl}}_n$ at level $1$ via combinatorics,2026-06-17T16:10:22Z,2026-06-17T16:10:22Z,math.QA; math.CO; math.RT,We use a family of Rogers--Ramanujan-type combinatorial identities of Dousse--Konan involving coloured partitions to prove classical freeness of the simple vertex operator algebras based on $\widehat{\mathfrak{sl}}_n$ at level $1$. These identities are used to produce Gröbner bases for the relevant arc algebras.,https://arxiv.org/pdf/2606.19234v1
2606.19225v1,Disjointly universal inner functions,2026-06-17T16:01:28Z,2026-06-17T16:01:28Z,math.FA,"We characterize when two sequences of composition operators admit disjointly universal Blaschke products and singular inner functions. The characterizations we provide depend on geometric features of the symbols like their hyperbolic derivatives and pseudo hyperbolic distances. To achieve our results, we build a disjoint universality criterion for sequences of maps that act on a metrizable, complete topological semigroup.",https://arxiv.org/pdf/2606.19225v1
2606.19224v1,A Conjugate Gradient Formulation of the EnKF Algorithm,2026-06-17T16:00:39Z,2026-06-17T16:00:39Z,math.NA,"Ensemble Kalman Filter (EnKF) based data assimilation algorithms synthesize predictive numerical forecast models with accumulated data as time evolves and account for model uncertainty and noisy measurements. The computational cost of these algorithms can be expensive, in particular for highly dimensional dynamical systems. Often, EnKF based algorithms have traded accuracy for reduced computational cost. In this paper, we present a novel parallelizable Conjugate Gradient-based Ensemble Kalman Filter (CGD-EnKF) algorithm that maintains comparable computational cost to efficient algorithms while realizing better state estimation accuracy in select cases. Here, we established the new approach by reformulating a matrix inverse calculation with a classical Conjugate Gradient (CGD) method. In addition, we discuss the upper error bound under CGD, error convergence to the classical EnKF result, and the computational complexity of the algorithm. We also showcase the CGD-EnKF-Reduced algorithm that is shown to be further computationally efficient for highly dimensional dynamical systems under small ensemble formulation. Numerical examples demonstrate the performance of our proposed algorithms and analytical properties, highlighting their comparability and advantages with respect to some benchmark EnKF algorithms.",https://arxiv.org/pdf/2606.19224v1
2606.19223v1,Diffeomorphic Logarithm of Special Orthogonal Matrices,2026-06-17T16:00:29Z,2026-06-17T16:00:29Z,math.DG,"The special orthogonal group $\mathbb{SO}_n$ is a Lie group whose geometry and local structure are encoded by the exponential map in its Lie algebra $\mathbf{Skew}_n$, the set of skew-symmetric matrices. The associated multi-valued inverse problem -- the matrix logarithm -- in $\mathbb{SO}_n$ exhibits a highly nontrivial local diffeomorphism structure, which differs from the matrix logarithm for invertible matrices. This work characterizes the local diffeomorphism structure of the exponential in the set of skew-symmetric matrices where its derivative is invertible. We show that this set with an invertible derivative can be organized into diffeomorphic regions, using a canonical alignment of Schur decompositions. In particular, the region that contains the principal logarithm has a special multiplicity structure: each matrix in $\mathbb{SO}_n$ admits at most two skew-symmetric preimages in this region. Based on this geometric framework, we introduce the diffeomorphic logarithm of special orthogonal matrices together with an efficient and stable algorithm. Moreover, it is applied to the Karcher mean problem in $\mathbb{SO}_n$, demonstrating continuous behavior of the mean under perturbations of the data, which is not captured by the principal logarithm.",https://arxiv.org/pdf/2606.19223v1
2606.19217v1,"Explicit thresholds in a generalized Turán problem for \(K_{3,t}\)-free graphs",2026-06-17T15:54:48Z,2026-06-17T15:54:48Z,math.CO,"For graphs $F$ and $H$, let $\ex(n,F,H)$ denote the maximum number of copies of $F$ in an $n$-vertex $H$-free graph. Janzer, Longbrake and Yepremyan recently proved that, for fixed $3<a\le b$ and sufficiently large $t$, \[ \ex(n,K_{a,b},K_{3,t})=Θ(n^3). \] We make their threshold explicit, showing that this conclusion holds for all $t\ge τ(b):=2\max\{3,\lceil b/2\rceil\}+1.$ In particular, for every even $b\ge 6$, this matches the necessary threshold $t=b+1$. The main new ingredient is an explicit finite-field point set whose plane sections are controlled directly, rather than through a general bounded-complexity algebraic lemma. This direct line-and-conic section analysis gives the required \(K_{3,t}\)-freeness while preserving many coplanar \(b\)-element subsets.",https://arxiv.org/pdf/2606.19217v1
2606.19213v1,Evaluating Rust for Sparse Matrix Kernels in Scientific Computing,2026-06-17T15:49:34Z,2026-06-17T15:49:34Z,cs.MS; math.NA,"Sparse matrix kernels form the computational backbone of scientific computing, traditionally relying on C/C++ and Fortran implementations that prioritize performance over memory safety. This work evaluates Rust as a systems-level alternative for sparse linear algebra by implementing and benchmarking three core workloads: sparse matrix-vector multiplication (SpMV), Lanczos-based Krylov methods, and matrix-exponential evaluation. We compare native Rust code against established baselines (Intel oneMKL, Eigen, PETSc, and PSBLAS) across a suite of representative matrices. Our results show that Rust's sparse kernels achieve performance comparable to Eigen and PSBLAS, tracking the state-of-the-art for CSC formats, while trailing PETSc's advanced blocked CSR optimizations. By analyzing compile-time monomorphization, SIMD vectorization, and FFI boundaries, we assess the practical impact of Rust's safety model and ecosystem readiness. The study provides concrete, evidence-based guidance for modernizing high-performance numerical software stacks.",https://arxiv.org/pdf/2606.19213v1
2606.19208v1,On the bisections of a local Lie grpoupod,2026-06-17T15:45:15Z,2026-06-17T15:45:15Z,math.DG; math.AG,"In this paper, we study the local Lie group structure associated with the space of admissible bisections of a local Lie groupoid over a compact manifold. We further investigate the relation of this local Lie group to the Lie algebra of sections of the associated Lie algebroid. In addition, we prove that the globalizability of a local Lie groupoid implies the globalizability of its associated local Lie group of bisections",https://arxiv.org/pdf/2606.19208v1
2606.19207v1,Extrema of microscopically slowed-down Gaussian fields,2026-06-17T15:45:08Z,2026-06-17T15:45:08Z,math.PR,"We introduce a family of Gaussian fields whose covariance structure exhibits an inhomogeneous, microscopic slowdown and it interpolates between a $\log$ profile (for a certain interpolation parameter $α=0$) and a $\log\log$ profile (when the interpolation parameter is $α=1/2$). We consider both one dimensional such objects (which we call {\it Branching Brownian Motions in a cooling environment}) as well as higher dimensional, spatial fields. We identify the correct centering of the maximum at time $T$ and prove tightness of the recentered maximum. While the exponent in the first-order growth varies linearly with $α$, giving a leading order of $T^{1-α}$, the second-order correction exhibits a phase transition at $α=1/3$.",https://arxiv.org/pdf/2606.19207v1
2606.19200v1,Holomorphic tensors on products of algebraic cones,2026-06-17T15:39:48Z,2026-06-17T15:39:48Z,math.AG; math.CV; math.DG,"We study the product $C$ of two algebraic cones equipped with algebraic structures given by contractions. First we show that any holomorphic tensor on a quotient of $C$ by a group containing a contraction on both factors is invariant under the Zariski closure of this contraction when the factors have dimension $\geq 2$. We then give an explicit embedding of the cone of a Sasaki manifold to a normal variety. Using it and the result on algebraic cones, we prove that any holomorphic tensor on the product of two Sasaki manifolds is invariant under the flows of the Reeb fields.",https://arxiv.org/pdf/2606.19200v1
2606.19198v1,Well-posedness and trace theory for the Kolmogorov equation on bounded domains,2026-06-17T15:36:33Z,2026-06-17T15:36:33Z,math.AP,"We establish well-posedness of the stationary Kolmogorov equation with spherical velocity on a bounded domain, subject to either inflow boundary conditions or specular reflection. For the sake of completeness, we also include the problem on the torus, which was solved already in [Albritton, Armstrong, Mourrat, Novack 2024]. We introduce a hypoelliptic space of functions whose trace is defined via the transport operator; we prove a Poincaré-type inequality with trace, which is an essential step towards the well-posedness of the inflow problem without friction. Moreover, concerning the trace problem [Albritton, Armstrong, Mourrat, Novack 2024 - Question 1.8], we obtain a partial result with the optimal weight $|n_x\cdot v|$, in which the outgoing (resp. inflow) flux is bounded by the energy inside the domain and the inflow (resp. outgoing) flux.",https://arxiv.org/pdf/2606.19198v1
2606.19189v1,Topology of two-dimensional collapsed spaces with lower Ricci bounds,2026-06-17T15:31:03Z,2026-06-17T15:31:03Z,math.DG,"We prove that collapsed metric measure spaces with Ricci curvature bounded below and essential dimension two are topological surfaces, possibly with boundary.",https://arxiv.org/pdf/2606.19189v1
2606.19181v1,Noise seeded oscillators: on the role of demographic fluctuations in a multi-populations model,2026-06-17T15:20:45Z,2026-06-17T15:20:45Z,nlin.AO; math-ph,"Stochastic oscillations can emerge from a two-population model as triggered by endogenous finite size fluctuations. Here, an extended dynamical scenario is considered in which a third fluctuating species is added to a proto-typical scheme of neuronal interaction. As we shall prove both analytically and numerically, the third added species can enhance or even suppress the emergence of quasi-cycles, namely the coherent oscillations of the two original populations, as instigated by the demographic noise component. In general, investigating the coupled dynamics of noisy oscillators of the type considered could yield an extended framework for synchronization studies, beyond the pioneering setting introduced by Kuramoto.",https://arxiv.org/pdf/2606.19181v1
2606.19179v1,Compute Efficiency and Serial Runtime Tradeoffs for Stochastic Momentum Methods,2026-06-17T15:19:20Z,2026-06-17T15:19:20Z,cs.LG; cs.AI; math.OC; stat.ML,"Stochastic momentum methods such as heavy ball (HB), Nesterov momentum, and variants of Accelerated SGD (ASGD) [Kidambi et al., 2018] are widely used in modern training, but their stochastic benefits depend on two distinct quantities: serial runtime, the number of iterations needed to reach a target accuracy, and compute efficiency (CE), the inverse total gradient-query or FLOP cost. Larger batches reduce serial runtime without hurting CE only when the contraction gap grows linearly with batch size. We study stochastic HB and ASGD for consistent linear regression with Gaussian covariates and prove finite-dimensional, discrete-time lower bounds on their batch-size tradeoffs. Our first result shows that HB does not improve the CE frontier over SGD for arbitrary spectra; rather, it preserves SGD-level CE over a larger batch-size window, allowing larger batches to reduce serial runtime until HB reaches its deterministic accelerated scale. This window can be a factor $\sqrtκ$ larger than the SGD critical batch size. For ASGD, the picture is more spectrum-dependent: for rapidly decaying power-law spectra, ASGD improves small-batch CE over HB/SGD, but as batch size grows it trades this CE advantage for improved serial runtime. Synthetic linear-regression experiments verify these qualitative regimes, including near-overlap of ASGD and HB for slowly decaying spectra and the predicted CE--serial tradeoff for rapidly decaying spectra.",https://arxiv.org/pdf/2606.19179v1
2606.19178v1,Shortest paths in polynomial lemniscate sublevel sets and a problem of Erdős,2026-06-17T15:19:13Z,2026-06-17T15:19:13Z,math.CV,"Let $f(z)=\prod_{j=1}^{n}(z-a_j)$ be monic, with all zeros in the closed unit disk, and put $E_f=\{z\in\mathbb{C}: |z|\leq 1,\ |f(z)|\leq 1\}$. Let $S(n)$ be the largest possible shortest length of a path in $E_f$ joining $0$ to $\partial\mathbb{D}$, where the maximum is taken over all such polynomials of degree $n$. We prove that, for all sufficiently large $n$, $c\sqrt{\log n}\leq S(n)\leq πn$ with an absolute constant $c>0$. This proves the qualitative unboundedness predicted by Erdős. The proof combines an explicit geometric maze, Green-function and Faber-polynomial estimates, analytic quantization of circle measures, and a reciprocal-sweeping upper bound.",https://arxiv.org/pdf/2606.19178v1
2606.19177v1,Global dynamics in the 3D pressureless Euler-Poisson system for ions,2026-06-17T15:18:37Z,2026-06-17T15:18:37Z,math.AP,"In this work we consider the pressureless Euler-Poisson system on $\mathbb{R}^3$ describing ion dynamics, which is a common model in the study of cold plasma. We prove global regularity and scattering for small, irrotational velocity fields around a constant density profile. At the heart of the result is a dispersive mechanism leading to amplitude decay at the full rate in $3$D. This fast decay feature and a favourable structure of the nonlinearity allow to control quadratic interactions globally.",https://arxiv.org/pdf/2606.19177v1
2606.19173v1,Higher-spin self-dual gravity from holomorphic planes in twistor space,2026-06-17T15:15:53Z,2026-06-17T15:15:53Z,hep-th; math-ph,"We prove a `nonlinear graviton theorem' for higher-spin self-dual gravity. We consider small deformations of the complex structure of the non-projective twistor space that are bounded in a specified region near the origin and investigate the space $M_{HS}$ of holomorphically embedded complex planes $\mathbb{C}^2$ that intersect the origin. We show that this space is an infinite dimensional complex manifold with a canonical projection onto a four-dimensional holomorphic self-dual spacetime $\mathcal{M}$, and discuss the geometry induced on this new higher-spin space. Solutions of higher-spin self-dual gravity are then obtained by choosing an embedding of spacetime $\mathcal{M}$ into higher-spin space $M_{HS}$, with higher-spin symmetries arising from the different choices of embedding. Integrability of the theory is manifested in the form of a Lax pair for the system that we present. We conjecture that chiral higher-spin gravity can similarly be realized by considering deformations that are unconstrained at the origin.",https://arxiv.org/pdf/2606.19173v1
